# Diccionario español → inglés de la interfaz de Kenti. Una entrada por línea: texto en español, TAB, texto en inglés.
# {0}, {1}… marcan partes variables (números, nombres); en inglés pueden ir en otro orden.
# Las líneas que empiezan con # se ignoran. Los espacios dentro del texto se comparan colapsados.
# ---------- Encabezado, pestañas y botones generales ----------
Kenti Macroinvertebrados	Kenti Macroinvertebrates
Acumulada: {0} %	Cumulative: {0}%
Eje	Axis
Autovalor	Eigenvalue
% varianza	% variance
% acumulado	% cumulative
Variable	Variable
Cargas: correlación de cada variable con el eje	Loadings: correlation of each variable with the axis
Porcentaje de varianza explicada por cada eje	Percentage of variance explained by each axis
Biplot del PCA	PCA biplot
Análisis de componentes principales (PCA)	Principal component analysis (PCA)
Varianza explicada por eje	Variance explained by axis
# ---------- Pestaña 5 · índices bióticos ----------
BMWP', ASPT' y ABI por sitio, calculados con las familias de la tabla de la pestaña 1. Estos índices usan presencia: cuántos individuos haya de cada familia no cambia el puntaje.	BMWP', ASPT' and ABI by site, computed from the families in the tab 1 table. These indices use presence: how many individuals of each family there are does not change the score.
Cada índice tiene su propia tabla de puntajes, sus clases y su cita. No se mezclan ni se comparan valores entre índices.	Each index has its own score table, its classes and its citation. Values are neither mixed nor compared between indices.
Qué índice usar	Which index to use
Cuándo usarlo:	When to use it:
Cómo se calcula:	How it is computed:
Tener en cuenta:	Keep in mind:
ríos y arroyos de montaña y pedemonte del Noroeste Argentino. Es el índice de referencia para la región y el principal para informar.	mountain and piedmont rivers and streams of northwestern Argentina. It is the reference index for the region and the main one to report.
suma del puntaje (de 1 a 10) de cada familia presente en el sitio. Las familias sensibles a la contaminación puntúan alto; las tolerantes, bajo. Clases de calidad de I a V.	sum of the score (1 to 10) of each family present at the site. Pollution-sensitive families score high; tolerant ones, low. Quality classes I to V.
es una suma, así que depende del esfuerzo de muestreo: más muestras o más hábitats relevados dan más familias y más puntaje. Compara sólo sitios muestreados con el mismo método.	it is a sum, so it depends on sampling effort: more samples or more habitats surveyed give more families and a higher score. Compare only sites sampled with the same method.
Puntaje promedio por familia	Average score per family
siempre junto al BMWP', nunca solo. Ayuda cuando los sitios tienen distinto esfuerzo de muestreo o muy distinto número de familias, porque es un promedio y no una suma.	always alongside the BMWP', never alone. It helps when sites have different sampling effort or very different numbers of families, because it is an average and not a sum.
BMWP' dividido por el número de familias que tienen puntaje. Va de 1 a 10. Usa la misma tabla que el BMWP'.	BMWP' divided by the number of families that have a score. It ranges from 1 to 10. It uses the same table as the BMWP'.
con pocas familias, una sola mueve mucho el promedio.	with few families, a single one moves the average a lot.
Andean Biotic Index	Andean Biotic Index
ríos altoandinos, desde 2000 m s.n.m. hasta el límite de las nieves (Puna, prepuna y quebradas altas). Bajo 2000 m no está calibrado: Kenti lo calcula igual y lo marca con ⚠. La altitud de cada sitio se carga en la pestaña 2.	high-Andean rivers, from 2000 m a.s.l. up to the snow line (Puna, pre-Puna and high ravines). Below 2000 m it is not calibrated: Kenti still computes it and flags it with ⚠. The altitude of each site is entered in tab 2.
suma del puntaje de cada familia presente, con su propia tabla, distinta de la del BMWP' (la misma familia puede puntuar distinto).	sum of the score of each family present, with its own table, different from the BMWP' one (the same family may score differently).
Familias sin puntaje	Families without a score
· una familia presente que no está en la tabla no suma y se informa por sitio. Si son muchas, el índice subestima.	· a family present that is not in the table adds nothing and is reported by site. If there are many, the index underestimates.
Familia antes que orden	Family before order
· si la tabla trae «Odonata (varias fam.)» y también Libellulidae, Libellulidae usa su propio puntaje.	· if the table has «Odonata (varias fam.)» and also Libellulidae, Libellulidae uses its own score.
Chironomidae rojos	Red Chironomidae
· para que puntúen aparte, cárgalos en la pestaña 1 como «Chironomidae (rojos)», en su propia fila.	· to score them separately, enter them in tab 1 as «Chironomidae (rojos)», in their own row.
Scirtidae y Helodidae	Scirtidae and Helodidae
· son la misma familia: cualquiera de los dos nombres encuentra su puntaje.	· they are the same family: either name finds its score.
Tablas de puntaje	Score tables
Se cargan desde Excel o CSV: una columna con la familia y otra con el puntaje. Quedan guardadas con tus datos. Sin tabla, el índice no se calcula.	They are loaded from Excel or CSV: one column with the family and another with the score. They are saved with your data. Without a table, the index is not computed.
Valor de referencia del ABI para la cuenca	ABI reference value for the basin
Pasa el cursor sobre una clase para ver su significado y su rango.	Hover over a class to see its meaning and range.
Clases de calidad de cada índice	Quality classes of each index
BMWP' del NOA	NOA BMWP'
BMWP/Bol · complemento del BMWP' del NOA	BMWP/Bol · complement to the NOA BMWP'
ABI · Andean Biotic Index	ABI · Andean Biotic Index
Domínguez, E. y H. R. Fernández. 1998. Calidad de los ríos de la Cuenca del Salí (Tucumán, Argentina) medida por un índice biótico. Serie Conservación de la Naturaleza 12, Fundación Miguel Lillo. Puntajes modificados de Alba-Tercedor y Sánchez-Ortega (1988).	Domínguez, E. & H. R. Fernández. 1998. Calidad de los ríos de la Cuenca del Salí (Tucumán, Argentina) medida por un índice biótico. Serie Conservación de la Naturaleza 12, Fundación Miguel Lillo. Scores modified from Alba-Tercedor & Sánchez-Ortega (1988).
Leaño Sanabria, J. y R. Pérez Barriga. 2020. Acta Nova 9 (4): 569-591; puntajes del MMAyA (Bolivia), 2012. Sólo completa las familias que no están en la tabla del NOA; la clase sigue siendo la del BMWP' del NOA.	Leaño Sanabria, J. & R. Pérez Barriga. 2020. Acta Nova 9 (4): 569-591; MMAyA (Bolivia) scores, 2012. It only fills in the families missing from the NOA table; the class is still that of the NOA BMWP'.
Ríos-Touma, B., R. Acosta y N. Prat. 2014. The Andean Biotic Index (ABI): revised tolerance to pollution values for macroinvertebrate families and index performance evaluation. Revista de Biología Tropical 62 (Supl. 2): 249-273. Tabla también en Prat et al. 2009, en Domínguez y Fernández (eds.), Macroinvertebrados bentónicos sudamericanos, Fundación Miguel Lillo.	Ríos-Touma, B., R. Acosta & N. Prat. 2014. The Andean Biotic Index (ABI): revised tolerance to pollution values for macroinvertebrate families and index performance evaluation. Revista de Biología Tropical 62 (Suppl. 2): 249-273. Table also in Prat et al. 2009, in Domínguez & Fernández (eds.), Macroinvertebrados bentónicos sudamericanos, Fundación Miguel Lillo.
Cammaerts, D., R. Cammaerts, A. Riboux y M. Vargas. 2008. Escala citada en Leaño Sanabria, J. J. y D. Pérez Barriga. 2020. Acta Nova 9 (4): 569-591 (Tabla 3).	Cammaerts, D., R. Cammaerts, A. Riboux & M. Vargas. 2008. Scale cited in Leaño Sanabria, J. J. & D. Pérez Barriga. 2020. Acta Nova 9 (4): 569-591 (Table 3).
Escala de Cammaerts et al. (2008): ≥ 6,00 muy limpia; 5,40–5,99 buena; 4,90–5,39 aceptable; 4,00–4,89 dudosa; 3,00–3,99 crítica; < 3,00 muy crítica. Kenti clasifica con el valor sin redondear: 5,395 es aceptable.	Cammaerts et al. (2008) scale: ≥ 6.00 very clean; 5.40–5.99 good; 4.90–5.39 acceptable; 4.00–4.89 doubtful; 3.00–3.99 critical; < 3.00 very critical. Kenti classifies with the unrounded value: 5.395 is acceptable.
Kenti usa por defecto la escala de la guía argentina para zonas andinas sobre 2000 m: > 96 muy buena, 59–95 buena, 35–58 regular, 14–34 mala, < 14 muy mala (referencia 96, la de la cuenca del Guayllabamba en Ríos-Touma et al. 2014). Los límites son el 100 %, 61 %, 36 % y 15 % de la referencia, redondeados: si cargas el valor de tu cuenca (percentil 25 de los sitios de referencia), las clases se recalculan. Con 74 (Cañete, Perú) dan 74, 45, 27 y 11.	By default Kenti uses the scale of the Argentine guide for Andean areas above 2000 m: > 96 very good, 59–95 good, 35–58 fair, 14–34 poor, < 14 very poor (reference 96, that of the Guayllabamba basin in Ríos-Touma et al. 2014). The limits are 100%, 61%, 36% and 15% of the reference, rounded: if you enter the value for your basin (25th percentile of the reference sites), the classes are recalculated. With 74 (Cañete, Peru) they are 74, 45, 27 and 11.
Aguas muy limpias	Very clean water
Aguas no contaminadas	Unpolluted water
Con algún grado de contaminación	Some degree of pollution
Aguas contaminadas	Polluted water
Aguas muy contaminadas	Very polluted water
Aguas fuertemente contaminadas	Heavily polluted water
Muy limpia	Very clean
Agua muy limpia (de calidad no alterada)	Very clean water (unaltered quality)
Buena	Good
Agua no contaminada o de manera no perceptible	Unpolluted or not perceptibly polluted water
Aceptable	Acceptable
Agua con algún grado de contaminación	Water with some degree of pollution
Dudosa	Doubtful
Agua contaminada	Polluted water
Crítica	Critical
Agua muy contaminada	Very polluted water
Muy crítica	Very critical
Agua fuertemente contaminada	Heavily polluted water
Muy buena	Very good
Regular	Fair
Mala	Poor
Muy mala	Very poor
Calidad muy buena	Very good quality
Calidad buena	Good quality
Calidad regular	Fair quality
Calidad mala	Poor quality
Calidad muy mala	Very poor quality
{0} · rango {1}	{0} · range {1}
Tabla 5 de Prat et al. 2009, en Domínguez y Fernández (eds.), Macroinvertebrados bentónicos sudamericanos, p. 643 (72 familias y grupos; Ríos-Touma et al. 2014)	Table 5 of Prat et al. 2009, in Domínguez & Fernández (eds.), Macroinvertebrados bentónicos sudamericanos, p. 643 (72 families and groups; Ríos-Touma et al. 2014)
Tabla 8 de Domínguez y Fernández 1998, Serie Conservación de la Naturaleza 12, p. 39 (53 entradas)	Table 8 of Domínguez & Fernández 1998, Serie Conservación de la Naturaleza 12, p. 39 (53 entries)
Tabla 1 de Leaño Sanabria y Pérez Barriga 2020, Acta Nova 9 (4): 569-591 (BMWP/Bol, MMAyA 2012; 88 entradas)	Table 1 of Leaño Sanabria & Pérez Barriga 2020, Acta Nova 9 (4): 569-591 (BMWP/Bol, MMAyA 2012; 88 entries)
No se encontraron filas con familia y puntaje (de 0 a 10) para {0}	No rows with family and score (0 to 10) found for {0}
tabla pegada	pasted table
{0}: {1} entradas cargadas	{0}: {1} entries loaded
· {0} filas sin puntaje válido: {1}{2}	· {0} rows without a valid score: {1}{2}
· {0} filas sin puntaje válido: {1}	· {0} rows without a valid score: {1}
Cargada: {0} entradas · {1}	Loaded: {0} entries · {1}
Desactivado: las familias que no están en la tabla del NOA quedan sin puntaje	Disabled: families missing from the NOA table get no score
Sin cargar: el índice no se calcula	Not loaded: the index is not computed
Reemplazar	Replace
Desactivar	Disable
Activar	Enable
Volver a la de Kenti	Back to Kenti's
Quitar	Remove
Orden	Order
{0}: {1} entradas	{0}: {1} entries
Familia o grupo	Family or group
Puntaje	Score
Sin valor de referencia el ABI se calcula, pero sale sin clase. Es el percentil 25 del ABI de los sitios de referencia de tu cuenca.	Without a reference value the ABI is computed, but without a class. It is the 25th percentile of the ABI of the reference sites in your basin.
Clases:	Classes:
Primero carga la tabla de familias en la pestaña 1.	First load the table of families in tab 1.
Todavía no hay tablas de puntaje cargadas. Carga la del BMWP' del NOA, la del ABI o las dos en «Tablas de puntaje», arriba.	No score tables loaded yet. Load the NOA BMWP' table, the ABI one or both under «Score tables», above.
Alt	Alt
Altitud (m)	Altitude (m)
Clase	Class
Con puntaje	With score
BMWP' / n	BMWP' / n
Bajo 2000 m s.n.m.: el ABI está calibrado para ríos altoandinos sobre 2000 m. Se calcula igual; tómalo con cautela.	Below 2000 m a.s.l.: the ABI is calibrated for high-Andean rivers above 2000 m. It is still computed; use it with caution.
Sin altitud: cárgala en la pestaña 2 para comprobar si el sitio está sobre 2000 m s.n.m.	No altitude: enter it in tab 2 to check whether the site is above 2000 m a.s.l.
? altitud	? altitude
sin ref.	no ref.
sin puntaje: {0}	no score: {0}
completadas con la tabla boliviana (+{0}; sólo NOA: {1}): {2}	filled in with the Bolivian table (+{0}; NOA only: {1}): {2}
por grupo superior o nombre equivalente: {0}	via a higher group or equivalent name: {0}
Todas las familias presentes tienen puntaje en las tablas cargadas.	All families present have a score in the loaded tables.
BMWP' por sitio	BMWP' by site
Color según la clase de calidad del BMWP' del NOA	Colour by NOA BMWP' quality class
ASPT' por sitio	ASPT' by site
Color según la escala de Cammaerts et al. (2008)	Colour by the Cammaerts et al. (2008) scale
ABI por sitio	ABI by site
Sin valor de referencia de la cuenca: sin clases	No basin reference value: no classes
Color según las clases calculadas con el valor de referencia	Colour by the classes computed from the reference value
{0} por sitio por sitio	{0} by site
Familias que encontraron puntaje en la tabla	Families that found a score in the table
Rango	Range
Significado	Meaning
Un valor justo en el límite va a la clase superior: 40 es clase I, 30 es II, 20 es III y 10 es IV.	A value exactly on a limit goes to the higher class: 40 is class I, 30 is II, 20 is III and 10 is IV.
Carga el valor de referencia de la cuenca en «Tablas de puntaje» para ver las clases. {0}	Enter the basin reference value under «Score tables» to see the classes. {0}
ABI · referencia de la cuenca {0}	ABI · basin reference {0}
Límites: 100 %, 61 %, 36 % y 15 % del valor de referencia, redondeados. Un valor justo en el límite va a la clase superior.	Limits: 100%, 61%, 36% and 15% of the reference value, rounded. A value exactly on a limit goes to the higher class.
Nombre	Name
Clase BMWP'	BMWP' class
Familias con puntaje	Families with score
Clase ASPT'	ASPT' class
Clase ABI	ABI class
Aviso ABI	ABI warning
sin altitud	no altitude
bajo 2000 m s.n.m.	below 2000 m a.s.l.
No hay sitios para copiar	There are no sites to copy
Tabla copiada: pégala en Excel	Table copied: paste it in Excel
No se pudo copiar desde el navegador	Could not copy from the browser
Complemento boliviano desactivado: el BMWP' usa sólo la tabla del NOA	Bolivian complement disabled: the BMWP' uses the NOA table only
Complemento boliviano activado	Bolivian complement enabled
Se quitó la tabla de {0}	The {0} table was removed
Cargada: {0}	Loaded: {0}
BMWP': {0} entradas	BMWP': {0} entries
ABI: {0} entradas	ABI: {0} entries
BMWP/Bol: {0} entradas	BMWP/Bol: {0} entries
Hemiptera (varias fam.)	Hemiptera (varias fam.)
Odonata (varias fam.)	Odonata (varias fam.)
Chironomidae (rojos)	Chironomidae (rojos)
Scirtidae (Helodidae)	Scirtidae (Helodidae)
# ---------- Exportación a Excel ----------
· datos de ejemplo	· example data
Exportado el {0} con {1} v{2} · medida: {3}{4}{5}	Exported on {0} with {1} v{2} · measure: {3}{4}{5}
Exportado el {0} con {1} v{2} · medida: {3}	Exported on {0} with {1} v{2} · measure: {3}
1 Tabla de datos	1 Data table
Una celda vacía cuenta como cero. Los totales y las filas de riqueza y abundancia son fórmulas.	An empty cell counts as zero. The totals and the richness and abundance rows are formulas.
Una celda vacía cuenta como cero. Los totales y las filas de riqueza y {0} son fórmulas.	An empty cell counts as zero. The totals and the richness and {0} rows are formulas.
Una celda NA es un sitio no relevado o no aplicable para ese registro: no entra en los análisis. Los totales y las filas de riqueza y abundancia son fórmulas.	An NA cell is a site not surveyed or not applicable for that record: it is left out of the analyses. The totals and the richness and abundance rows are formulas.
Origen de la familia	Source of the family
propuesta de Kenti:	proposed by Kenti:
propuesta de Kenti: {0}	proposed by Kenti: {0}
Nombre del sitio	Site name
Sitios fuera del análisis: {0}.	Sites outside the analysis: {0}.
En la columna Total, la riqueza y la abundancia cuentan sólo los sitios que entran en el análisis.	In the Total column, richness and abundance count only the sites in the analysis.
2 Índices alfa	2 Alpha indices
Diversidad alfa por sitio	Alpha diversity by site
Sitios en el análisis: {0}.	Sites in the analysis: {0}.
Sitios en el análisis: {0} de {1}. Fuera del análisis: {2}.	Sites in the analysis: {0} of {1}. Outside the analysis: {2}.
Todos los sitios del análisis	All sites in the analysis
DMg = (S − 1) / ln N	DMg = (S − 1) / ln N
DMn = S / √N	DMn = S / √N
Valores como «<0,01» (bajo el límite de detección) se muestran como texto y no entran en las correlaciones.	Values such as «<0.01» (below the detection limit) are shown as text and are left out of the correlations.
{0}: un valor por sitio, cargado en la pestaña de diversidad alfa.	{0}: one value per site, entered in the alpha diversity tab.
Una celda vacía indica que el índice no se puede calcular (por ejemplo, Pielou con un solo taxón o Margalef con N = 1).	An empty cell means the index cannot be computed (for example, Pielou with a single taxon or Margalef with N = 1).
3 Gráficos alfa	3 Alpha charts
Diversidad alfa · gráficos por sitio	Alpha diversity · charts by site
Cada eje y se ajusta al rango de su propia variable. La r de Pearson resume cuánto se mueven juntas las dos variables entre sitios.	Each y axis fits the range of its own variable. Pearson's r summarises how much the two variables move together across sites.
(eje invertido)	(inverted axis)
{0} · {1}{2} · r de Pearson {3}	{0} · {1}{2} · Pearson's r {3}
4 Diversidad beta	4 Beta diversity
Diversidad beta · similitud entre sitios	Beta diversity · similarity between sites
Cada índice usa una escala de un solo tono, de claro (0: nada en común) a oscuro (1: composición idéntica). Cluster UPGMA: ligamiento promedio sobre 1 − similitud.	Each index uses a single-hue scale, from light (0: nothing in common) to dark (1: identical composition). UPGMA cluster: average linkage on 1 − similarity.
Correlación cofenética (UPGMA)	Cophenetic correlation (UPGMA)
Cluster UPGMA · {0}	UPGMA cluster · {0}
Ligamiento promedio · correlación cofenética {0}	Average linkage · cophenetic correlation {0}
5 Correlación y PCA	5 Correlation and PCA
Correlación entre sitios y análisis de componentes principales	Correlation across sites and principal component analysis
Correlación de Pearson y regresión lineal	Pearson correlation and linear regression
Relación	Relationship
Eje x	x axis
Eje y	y axis
Pendiente	Slope
Ordenada	Intercept
Sitios de monitoreo · recta de mínimos cuadrados con intervalo de confianza del 95 %	Monitoring sites · least-squares line with 95% confidence interval
La banda sombreada de los gráficos es el intervalo de confianza del 95 % de la recta. p bilateral (t de Student con n − 2 grados de libertad).	The shaded band in the charts is the 95% confidence interval of the line. Two-sided p (Student's t with n − 2 degrees of freedom).
Valores por sitio	Values by site
Correlación con variables fisicoquímicas (r de Pearson)	Correlation with physicochemical variables (Pearson's r)
n = {0} sitios. En negrita, p < 0,05. Los valores bajo el límite de detección no entran.	n = {0} sites. In bold, p < 0.05. Values below the detection limit are left out.
p (bilateral)	p (two-sided)
n (sitios con valor)	n (sites with a value)
Correlación con variable fisicoquímica	Correlation with a physicochemical variable
Variables: {0}. Estandarizadas (media 0, desvío 1): PCA sobre la matriz de correlación. n = {1} sitios.	Variables: {0}. Standardised (mean 0, SD 1): PCA on the correlation matrix. n = {1} sites.
Sitios que no entran (les falta alguna variable): {0}.	Sites left out (missing some variable): {0}.
Variables que no cambian entre sitios y no entran: {0}.	Variables that do not vary across sites and are left out: {0}.
Muy correlacionadas (|r| ≥ 0,9):	Strongly correlated (|r| ≥ 0.9):
% de la varianza	% of variance
Puntajes de los sitios	Site scores
Matriz de correlación entre las variables	Correlation matrix of the variables
Biplot: las flechas son las cargas (correlación con CP 1 y CP 2) escaladas para verse junto a los sitios. El signo de cada eje es arbitrario.	Biplot: the arrows are the loadings (correlation with PC 1 and PC 2) scaled to be seen next to the sites. The sign of each axis is arbitrary.
PCA · biplot de sitios y variables	PCA · biplot of sites and variables
CP 1 y CP 2 explican {0} % de la varianza · {1} sitios · {2} variables	PC 1 and PC 2 explain {0}% of the variance · {1} sites · {2} variables
Porcentaje de la varianza total de las variables estandarizadas	Percentage of the total variance of the standardised variables
6 Índices bióticos	6 Biotic indices
Índices bióticos de calidad del agua	Biotic water-quality indices
{0} entradas, archivo «{1}», cargada el {2}	{0} entries, file «{1}», loaded on {2}
sin cargar (no se calcula)	not loaded (not computed)
Presencia de familias: la abundancia no cambia el puntaje. Cada índice usa sólo su propia tabla, sus clases y su cita.	Presence of families: abundance does not change the score. Each index uses only its own table, its classes and its citation.
sin cargar (el ABI sale sin clase)	not loaded (the ABI has no class)
· valor de referencia del ABI para la cuenca: {0}	· ABI reference value for the basin: {0}
Tablas de puntaje · BMWP' del NOA: {0} · ABI: {1}{2}.	Score tables · NOA BMWP': {0} · ABI: {1}{2}.
Resultados por sitio	Results by site
Con puntaje (n)	With score (n)
No hay tablas de puntaje cargadas: los índices no se calcularon.	No score tables loaded: the indices were not computed.
sin referencia	no reference
Familias sin puntaje (no suman) y equivalencias usadas	Families without a score (they add nothing) and equivalences used
BMWP' sin puntaje: {0}	BMWP' without score: {0}
BMWP' completadas con la tabla boliviana (+{0}; sólo NOA: {1}): {2}	BMWP' filled in with the Bolivian table (+{0}; NOA only: {1}): {2}
ABI sin puntaje: {0}	ABI without score: {0}
por grupo superior: {0}	via a higher group: {0}
Ríos y arroyos de montaña y pedemonte del Noroeste Argentino; índice principal para la región. Suma del puntaje (1 a 10) de cada familia presente. Depende del esfuerzo de muestreo: compara sólo sitios muestreados con el mismo método.	Mountain and piedmont rivers and streams of northwestern Argentina; main index for the region. Sum of the score (1 to 10) of each family present. It depends on sampling effort: compare only sites sampled with the same method.
Siempre junto al BMWP'. BMWP' dividido por el número de familias con puntaje: al ser un promedio, depende menos del esfuerzo de muestreo. Con pocas familias, una sola mueve mucho el valor.	Always alongside the BMWP'. BMWP' divided by the number of families with a score: being an average, it depends less on sampling effort. With few families, a single one moves the value a lot.
Ríos altoandinos desde 2000 m s.n.m. hasta el límite de las nieves. Suma del puntaje de cada familia presente, con su propia tabla. Bajo 2000 m no está calibrado: se calcula igual y se marca.	High-Andean rivers from 2000 m a.s.l. up to the snow line. Sum of the score of each family present, with its own table. Below 2000 m it is not calibrated: it is still computed and flagged.
Clases del BMWP' del NOA	NOA BMWP' classes
Clases del ASPT'	ASPT' classes
Clases del ABI · valor de referencia de la cuenca: {0}	ABI classes · basin reference value: {0}
Clases del ABI	ABI classes
Sin valor de referencia de la cuenca: el ABI no tiene clase.	No basin reference value: the ABI has no class.
Tablas de puntaje usadas	Score tables used
Color según las clases con referencia {0}	Colour by the classes with reference {0}
La tabla está vacía: pega tus datos antes de exportar	The table is empty: paste your data before exporting
Preparando…	Preparing…
Excel guardado: {0}	Excel saved: {0}
Abrir	Open
Ver en la carpeta	Show in folder
Libro de Excel descargado	Excel workbook downloaded
Descarga cancelada	Download cancelled
Ya hay una descarga esperando confirmación	A download is already waiting for confirmation
Esta vista no permite descargar el Excel. Usa la aplicación de escritorio de Kenti.	This view cannot download the Excel file. Use the Kenti desktop app.
Libro de Excel generado. Si la descarga no aparece, usa la aplicación de escritorio de Kenti.	Excel workbook generated. If the download does not appear, use the Kenti desktop app.
No se pudo exportar el Excel: {0}	Could not export the Excel file: {0}
No se pudo exportar el Excel:	Could not export the Excel file:
{0} · resultados	{0} · results
# ---------- Avisos de versiones anteriores ----------
(se quitaron {0}, que estaban sin relevar y vacíos)	(removed {0}, which were not surveyed and empty)
el respaldo	the backup
el archivo de respaldo	the backup file
Se conservó tu tabla. La tabla ahora es una planilla: ya no tiene fila de estado ni columna de familia, y todos los sitios entran en los análisis{0}. La versión anterior quedó copiada en {1}.	Your table was kept. The table is now a spreadsheet: it no longer has a status row or a family column, and every site goes into the analyses{0}. The previous version was copied to {1}.
La tabla guardada por la versión anterior tenía datos de ejemplo{0} y se descartó: ahora el programa arranca vacío. Si la necesitas, quedó copiada en {1}, en la carpeta de datos. Carga o pega tu tabla.	The table saved by the previous version had example data{0} and was discarded: the program now starts empty. If you need it, it was copied to {1}, in the data folder. Load or paste your table.
# ---------- Agregados tras la primera revisión en inglés ----------
de {#0}	of {0}
Primero carga la tabla.	First load the table.
Grupo	Group
Cianobacterias	Cyanobacteria
Desmidiáceas	Desmids
Quedan fuera {0}: les falta algún valor en las variables elegidas, o tienen una sola {1} y Pielou no se puede calcular.	{0} are left out: they lack some value in the chosen variables, or they have a single {1} and Pielou cannot be computed.
{t0} y {t1} están muy correlacionadas (r = {#2}): el primer eje queda dominado por ellas.	{0} and {1} are strongly correlated (r = {2}): the first axis is dominated by them.
no se tomó la columna {0} (no son sitios)	column {0} not used (it is not a site)
no se tomaron las columnas {0} y {1} (no son sitios)	columns {0} and {1} not used (they are not sites)
abundancia	abundance
presencia / ausencia	presence / absence
{0} entradas · {1}	{0} entries · {1}
